time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-11 00:00:00+00:00,1,1,0,0
2023-11-15 00:00:00+00:00,1,1,0,0
2023-11-23 00:00:00+00:00,0,0,2,1
