time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-10 00:00:00+00:00,12.0,2.0,26.0,1.0
2023-11-13 00:00:00+00:00,1.0,1.0,7.0,4.0
2023-11-16 00:00:00+00:00,1.0,1.0,,
2023-11-23 00:00:00+00:00,,,8.0,1.0
