time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-10 00:00:00+00:00,12,2,26,1
2023-11-13 00:00:00+00:00,1,1,7,4
2023-11-16 00:00:00+00:00,1,1,0,0
2023-11-23 00:00:00+00:00,0,0,8,1
2023-11-28 00:00:00+00:00,1,1,0,0
2023-11-30 00:00:00+00:00,1,1,0,0
2023-12-02 00:00:00+00:00,1,1,0,0
